ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy
ManLoi-6_wind-1,,ManLoi,6_wind,khuː,khuː,kʰ uː,,Deepadung2015,,,,,2163
MengDan-6_wind-1,,MengDan,6_wind,khuːr,khuːr,kʰ uː r,,Deepadung2015,,,,,2163
ChuDongGua-6_wind-1,,ChuDongGua,6_wind,khuːr,khuːr,kʰ uː r,,Deepadung2015,,,,,2163
XiangZhaiTang-6_wind-1,,XiangZhaiTang,6_wind,khuːn,khuːn,kʰ uː n,,Deepadung2015,,,,,2163
PongNuea-6_wind-1,,PongNuea,6_wind,khuːn,khuːn,kʰ uː n,,Deepadung2015,,,,,2163
NyaungGone-6_wind-1,,NyaungGone,6_wind,khun,khun,kʰ u n,,Deepadung2015,,,,,2163
NoeLae-6_wind-1,,NoeLae,6_wind,khun,khun,kʰ u n,,Deepadung2015,,,,,2163
BanPaw-6_wind-1,,BanPaw,6_wind,khun,khun,kʰ u n,,Deepadung2015,,,,,2163
ChaYeQing-6_wind-1,,ChaYeQing,6_wind,khuː,khuː,kʰ uː,,Deepadung2015,,,,,2163
GuangKa-6_wind-1,,GuangKa,6_wind,khuː,khuː,kʰ uː,,Deepadung2015,,,,,2163
MangBang-6_wind-1,,MangBang,6_wind,khuː,khuː,kʰ uː,,Deepadung2015,,,,,2163
NanSang-6_wind-1,,NanSang,6_wind,khuː,khuː,kʰ uː,,Deepadung2015,,,,,2163
NamHsan-7_night-1,,NamHsan,7_night,ram̥әɯ,ram̥әɯ,r a + m̥ əɯ̯,,Deepadung2015,,,,,1325 1323
KhunHawt-7_night-1,,KhunHawt,7_night,lapm̥әː,lapm̥әː,l a p + m̥ əː,,Deepadung2015,,,,,1326 1323
HtanHsan-7_night-1,,HtanHsan,7_night,rәnm̥әː,rәnm̥әː,r ə n + m̥ əː,,Deepadung2015,,,,,1325 1323
PangKham-7_night-1,,PangKham,7_night,khimm̥әɯ,khimm̥әɯ,kʰ i m + m̥ əɯ̯,,Deepadung2015,,,,,1322 1323
ManLoi-7_night-1,,ManLoi,7_night,khiːm̥әɯ,khiːm̥әɯ,kʰ iː + m̥ əɯ̯,,Deepadung2015,,,,,1322 1323
MengDan-7_night-1,,MengDan,7_night,khiːw m̥əɯ,khiːw m̥əɯ,kʰ iːu̯ + m̥ əɯ̯,,Deepadung2015,,,,,1322 1323
ChuDongGua-7_night-1,,ChuDongGua,7_night,kham̥ɯ,kham̥ɯ,kʰ a + m̥ ɯ,,Deepadung2015,,,,,1322 1323
XiangZhaiTang-7_night-1,,XiangZhaiTang,7_night,ʨuŋm̥əɯ,ʨuŋm̥əɯ,tɕ u ŋ + m̥ əɯ̯,,Deepadung2015,,,,,1325 1323
PongNuea-7_night-1,,PongNuea,7_night,khɛm̥әɯ,khɛm̥әɯ,kʰ ɛ + m̥ əɯ̯,,Deepadung2015,,,,,1322 1323
NyaungGone-7_night-1,,NyaungGone,7_night,pam̥ə,pam̥ə,p a + m̥ ə,,Deepadung2015,,,,,1327 1323
