ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
HtanHsan-7_night-1-1,HtanHsan-7_night-1,rәnm̥әː,1-7,false,expert,Deepadung2015,,,
PangKham-7_night-1-1,PangKham-7_night-1,khimm̥әɯ,1-7,false,expert,Deepadung2015,,,
ManLoi-7_night-1-1,ManLoi-7_night-1,khiːm̥әɯ,1-7,false,expert,Deepadung2015,,,
MengDan-7_night-1-1,MengDan-7_night-1,khiːw m̥əɯ,1-7,false,expert,Deepadung2015,,,
ChuDongGua-7_night-1-1,ChuDongGua-7_night-1,kham̥ɯ,1-7,false,expert,Deepadung2015,,,
XiangZhaiTang-7_night-1-1,XiangZhaiTang-7_night-1,ʨuŋm̥əɯ,1-7,false,expert,Deepadung2015,,,
PongNuea-7_night-1-1,PongNuea-7_night-1,khɛm̥әɯ,1-7,false,expert,Deepadung2015,,,
NyaungGone-7_night-1-1,NyaungGone-7_night-1,pam̥ə,1-7,false,expert,Deepadung2015,,,
NoeLae-7_night-1-1,NoeLae-7_night-1,khɛm̥ə,1-7,false,expert,Deepadung2015,,,
BanPaw-7_night-1-1,BanPaw-7_night-1,khɛm̥ə,1-7,false,expert,Deepadung2015,,,
ChaYeQing-7_night-1-1,ChaYeQing-7_night-1,kham̥eːw,1-7,false,expert,Deepadung2015,,,
GuangKa-7_night-1-1,GuangKa-7_night-1,kasɛm,3-7,false,expert,Deepadung2015,,,
MangBang-7_night-1-1,MangBang-7_night-1,kasəm,3-7,false,expert,Deepadung2015,,,
NanSang-7_night-1-1,NanSang-7_night-1,kasəm,3-7,false,expert,Deepadung2015,,,
NamHsan-8_year-1-1,NamHsan-8_year-1,sanәm,1-8,false,expert,Deepadung2015,,,
KhunHawt-8_year-1-1,KhunHawt-8_year-1,sanәm,1-8,false,expert,Deepadung2015,,,
HtanHsan-8_year-1-1,HtanHsan-8_year-1,sәnәm,1-8,false,expert,Deepadung2015,,,
PangKham-8_year-1-1,PangKham-8_year-1,sanam,1-8,false,expert,Deepadung2015,,,
ManLoi-8_year-1-1,ManLoi-8_year-1,sanam,1-8,false,expert,Deepadung2015,,,
MengDan-8_year-1-1,MengDan-8_year-1,sənam,1-8,false,expert,Deepadung2015,,,
ChuDongGua-8_year-1-1,ChuDongGua-8_year-1,sanɔm,1-8,false,expert,Deepadung2015,,,
XiangZhaiTang-8_year-1-1,XiangZhaiTang-8_year-1,sanəm,1-8,false,expert,Deepadung2015,,,
PongNuea-8_year-1-1,PongNuea-8_year-1,sanəm,1-8,false,expert,Deepadung2015,,,
NyaungGone-8_year-1-1,NyaungGone-8_year-1,sanăm,1-8,false,expert,Deepadung2015,,,
NoeLae-8_year-1-1,NoeLae-8_year-1,sanə̆m,1-8,false,expert,Deepadung2015,,,
BanPaw-8_year-1-1,BanPaw-8_year-1,sanăm,1-8,false,expert,Deepadung2015,,,
ChaYeQing-8_year-1-1,ChaYeQing-8_year-1,khanam,1-8,false,expert,Deepadung2015,,,
GuangKa-8_year-1-1,GuangKa-8_year-1,sanam,1-8,false,expert,Deepadung2015,,,
MangBang-8_year-1-1,MangBang-8_year-1,sanam,1-8,false,expert,Deepadung2015,,,
NanSang-8_year-1-1,NanSang-8_year-1,sanam,1-8,false,expert,Deepadung2015,,,
NamHsan-9_water-1-1,NamHsan-9_water-1,ʔoːm,1-9,false,expert,Deepadung2015,,,
KhunHawt-9_water-1-1,KhunHawt-9_water-1,ʔoːm,1-9,false,expert,Deepadung2015,,,
HtanHsan-9_water-1-1,HtanHsan-9_water-1,ʔoːm,1-9,false,expert,Deepadung2015,,,
PangKham-9_water-1-1,PangKham-9_water-1,ʔoːm,1-9,false,expert,Deepadung2015,,,
ManLoi-9_water-1-1,ManLoi-9_water-1,ʔoːm,1-9,false,expert,Deepadung2015,,,
MengDan-9_water-1-1,MengDan-9_water-1,ʔuːm,1-9,false,expert,Deepadung2015,,,
ChuDongGua-9_water-1-1,ChuDongGua-9_water-1,ʔuːm,1-9,false,expert,Deepadung2015,,,
XiangZhaiTang-9_water-1-1,XiangZhaiTang-9_water-1,Ɂɨm,1-9,false,expert,Deepadung2015,,,
PongNuea-9_water-1-1,PongNuea-9_water-1,ʔɨm,1-9,false,expert,Deepadung2015,,,
NyaungGone-9_water-1-1,NyaungGone-9_water-1,ʔɨm,1-9,false,expert,Deepadung2015,,,
NoeLae-9_water-1-1,NoeLae-9_water-1,ʔɨm,1-9,false,expert,Deepadung2015,,,
BanPaw-9_water-1-1,BanPaw-9_water-1,Ɂɨm,1-9,false,expert,Deepadung2015,,,
ChaYeQing-9_water-1-1,ChaYeQing-9_water-1,ʔɛm,1-9,false,expert,Deepadung2015,,,
GuangKa-9_water-1-1,GuangKa-9_water-1,ʔɛm,1-9,false,expert,Deepadung2015,,,
MangBang-9_water-1-1,MangBang-9_water-1,Ɂəm,1-9,false,expert,Deepadung2015,,,
NanSang-9_water-1-1,NanSang-9_water-1,Ɂəm,1-9,false,expert,Deepadung2015,,,
NamHsan-10_earthsoil-1-1,NamHsan-10_earthsoil-1,kәɗɛː,1-10,false,expert,Deepadung2015,,,
KhunHawt-10_earthsoil-1-1,KhunHawt-10_earthsoil-1,kәndɛj,2-10,false,expert,Deepadung2015,,,
HtanHsan-10_earthsoil-1-1,HtanHsan-10_earthsoil-1,kaɗej,2-10,false,expert,Deepadung2015,,,
PangKham-10_earthsoil-1-1,PangKham-10_earthsoil-1,kaɗaːj,2-10,false,expert,Deepadung2015,,,
ManLoi-10_earthsoil-1-1,ManLoi-10_earthsoil-1,kaɗaːj,2-10,false,expert,Deepadung2015,,,
MengDan-10_earthsoil-1-1,MengDan-10_earthsoil-1,kədaj,2-10,false,expert,Deepadung2015,,,
ChuDongGua-10_earthsoil-1-1,ChuDongGua-10_earthsoil-1,kaɗaːj,2-10,false,expert,Deepadung2015,,,
XiangZhaiTang-10_earthsoil-1-1,XiangZhaiTang-10_earthsoil-1,kadɛːj,2-10,false,expert,Deepadung2015,,,
PongNuea-10_earthsoil-1-1,PongNuea-10_earthsoil-1,kadaːj,2-10,false,expert,Deepadung2015,,,
NyaungGone-10_earthsoil-1-1,NyaungGone-10_earthsoil-1,kadaj,2-10,false,expert,Deepadung2015,,,
NoeLae-10_earthsoil-1-1,NoeLae-10_earthsoil-1,kadaj,2-10,false,expert,Deepadung2015,,,
BanPaw-10_earthsoil-1-1,BanPaw-10_earthsoil-1,kadaj,2-10,false,expert,Deepadung2015,,,
ChaYeQing-10_earthsoil-1-1,ChaYeQing-10_earthsoil-1,kadaːj,2-10,false,expert,Deepadung2015,,,
